article_id,company_key,company_name_raw,company_matched,company_match_method,company_match_score,published_date,date_status,pub_year,pub_quarter,pub_month,category_std,category_raw,revenue_raw,arr_usd,arr_status,currency_detected,company_age,_source_row_number,_loaded_at
ART0017,SpaceX,SpaceX,True,exact,100.0,2021-07-24,parsed,2021,3,7,FINTECH,FinTech,$3.900B,3900000000,parsed,USD,5,17,2026-08-22T21:58:37.269504+00:00
ART0018,Tesla,Tesla,True,exact,100.0,2020-04-30,parsed,2020,2,4,DATA_ANALYTICS,Big Data,,,missing,,12,18,2026-08-22T21:58:37.269504+00:00
ART0019,Confluent,Confluent,True,exact,100.0,2023-01-15,parsed,2023,1,1,DATA_ANALYTICS,Data Analytics,"$790,000,000",790000000,parsed,USD,28,19,2026-08-22T21:58:37.269504+00:00
ART0020,DataRobot,DataRobot,True,exact,100.0,2023-10-14,parsed,2023,4,10,DATA_ANALYTICS,Big Data,"£299,212,598",379999999,parsed,GBP,11,20,2026-08-22T21:58:37.269504+00:00
ART0021,Databricks,Databricks,True,exact,100.0,2023-10-03,parsed,2023,4,10,DATA_ANALYTICS,Data Analytics,"¥360,000,000,000",2400000000,parsed,JPY,20,21,2026-08-22T21:58:37.269504+00:00
ART0022,DataRobot,DataRobot,True,exact,100.0,2020-07-23,parsed,2020,3,7,SOFTWARE,Software,$170.0M,170000000,parsed,USD,8,22,2026-08-22T21:58:37.269504+00:00
ART0023,Elastic,Elastic,True,exact,100.0,2021-09-11,parsed,2021,3,9,SOFTWARE,SaaS,$0.930 billion,930000000,parsed,USD,5,23,2026-08-22T21:58:37.269504+00:00
ART0024,Databricks,Databricks,True,exact,100.0,2023-05-23,parsed,2023,2,5,DATA_ANALYTICS,Data Analytics,$2.150B,2150000000,parsed,USD,20,24,2026-08-22T21:58:37.269504+00:00
ART0025,OpenAI,OpenAI,True,exact,100.0,2020-09-24,parsed,2020,3,9,FINTECH,Financial Technology,Not disclosed,,not_disclosed,,14,25,2026-08-22T21:58:37.269504+00:00
ART0026,Anthropic,Anthropic,True,exact,100.0,2023-04-07,parsed,2023,2,4,CLOUD,Cloud Computing,Not disclosed,,not_disclosed,,17,26,2026-08-22T21:58:37.269504+00:00
ART0027,Airbnb,Airbnb,True,exact,100.0,2022-04-12,parsed,2022,2,4,CLOUD,Cloud Computing,,,missing,,23,27,2026-08-22T21:58:37.269504+00:00
ART0028,NVIDIA,NVIDIA,True,exact,100.0,2020-11-22,parsed,2020,4,11,AI_ML,AI & ML,$12.600B,12600000000,parsed,USD,3,28,2026-08-22T21:58:37.269504+00:00
ART0029,NVIDIA,NVIDIA,True,exact,100.0,2023-09-13,parsed,2023,3,9,DATA_ANALYTICS,Big Data,"€36,818,181,818",40500000000,parsed,EUR,6,29,2026-08-22T21:58:37.269504+00:00
ART0030,Stripe,Stripe,True,exact,100.0,2020-08-24,parsed,2020,3,8,CLOUD,Cloud,Not disclosed,,not_disclosed,,18,30,2026-08-22T21:58:37.269504+00:00
ART0031,Meta AI,Meta AI,True,exact,100.0,2023-03-26,parsed,2023,1,3,FINTECH,Financial Technology,"€1,090,909,091",1200000000,parsed,EUR,22,31,2026-08-22T21:58:37.269504+00:00
ART0032,DataRobot,DataRobot,True,exact,100.0,2023-09-20,parsed,2023,3,9,FINTECH,Finance,Not disclosed,,not_disclosed,,11,32,2026-08-22T21:58:37.269504+00:00
ART0033,SpaceX,SpaceX,True,exact,100.0,2022-02-15,parsed,2022,1,2,CLOUD,Cloud,$5.000 billion,5000000000,parsed,USD,6,33,2026-08-22T21:58:37.269504+00:00
ART0034,DataRobot,DataRobot,True,exact,100.0,2021-10-21,parsed,2021,4,10,SECURITY,Security,$275.0M,275000000,parsed,USD,9,34,2026-08-22T21:58:37.269504+00:00
ART0035,Microsoft,Microsoft,True,exact,100.0,2020-04-04,parsed,2020,2,4,SECURITY,InfoSec,N/A,,missing,,2,35,2026-08-22T21:58:37.269504+00:00
ART0036,NVIDIA,NVIDIA,True,exact,100.0,2023-09-05,parsed,2023,3,9,AI_ML,AI/ML,$38475.0M - $42525.0M,40500000000,parsed,USD,6,36,2026-08-22T21:58:37.269504+00:00
ART0037,Palantir,Palantir,True,exact,100.0,2022-08-09,parsed,2022,3,8,SOFTWARE,SaaS,Not disclosed,,not_disclosed,,17,37,2026-08-22T21:58:37.269504+00:00
ART0038,Cloudflare,Cloudflare,True,exact,100.0,2021-04-05,parsed,2021,2,4,SECURITY,Security,"€563,636,364",620000000,parsed,EUR,23,38,2026-08-22T21:58:37.269504+00:00
ART0039,Microsoft,Microsoft,True,exact,100.0,2022-02-23,parsed,2022,1,2,CLOUD,Cloud Computing,$57950.0M - $64050.0M,61000000000,parsed,USD,4,39,2026-08-22T21:58:37.269504+00:00
ART0040,SpaceX,SpaceX,True,exact,100.0,2023-04-11,parsed,2023,2,4,AI_ML,AI/ML,$7.600 billion,7600000000,parsed,USD,7,40,2026-08-22T21:58:37.269504+00:00
ART0041,DataRobot,DataRobot,True,exact,100.0,2022-09-26,parsed,2022,3,9,FINTECH,Financial Technology,"£240,157,480",305000000,parsed,GBP,10,41,2026-08-22T21:58:37.269504+00:00
ART0042,DataRobot,DataRobot,True,exact,100.0,2020-02-25,parsed,2020,1,2,SOFTWARE,Enterprise Software,N/A,,missing,,8,42,2026-08-22T21:58:37.269504+00:00
ART0043,Uber,Uber,True,exact,100.0,2021-03-09,parsed,2021,1,3,DATA_ANALYTICS,Data Analytics,Not disclosed,,not_disclosed,,6,43,2026-08-22T21:58:37.269504+00:00
ART0044,Anthropic,Anthropic,True,exact,100.0,2021-04-04,parsed,2021,2,4,AI_ML,Machine Learning,Not disclosed,,not_disclosed,,15,44,2026-08-22T21:58:37.269504+00:00
ART0045,Cloudflare,Cloudflare,True,exact,100.0,2020-08-22,parsed,2020,3,8,CLOUD,Cloud Services,$455.0 million,455000000,parsed,USD,22,45,2026-08-22T21:58:37.269504+00:00
ART0046,Confluent,Confluent,True,exact,100.0,2022-02-07,parsed,2022,1,2,CLOUD,Cloud Services,$0.600 billion,600000000,parsed,USD,27,46,2026-08-22T21:58:37.269504+00:00
ART0047,Anthropic,Anthropic,True,exact,100.0,2022-12-27,parsed,2022,4,12,DATA_ANALYTICS,Analytics,Not disclosed,,not_disclosed,,16,47,2026-08-22T21:58:37.269504+00:00
ART0048,Scale AI,Scale AI,True,exact,100.0,2023-12-19,parsed,2023,4,12,SECURITY,Cybersecurity,,,missing,,20,48,2026-08-22T21:58:37.269504+00:00
ART0049,NVIDIA,NVIDIA,True,exact,100.0,2021-07-25,parsed,2021,3,7,FINTECH,FinTech,"¥2,400,000,000,000",16000000000,parsed,JPY,4,49,2026-08-22T21:58:37.269504+00:00
ART0050,Databricks,Databricks,True,exact,100.0,2021-07-26,parsed,2021,3,7,FINTECH,Financial Technology,Not disclosed,,not_disclosed,,18,50,2026-08-22T21:58:37.269504+00:00
ART0051,Scale AI,Scale AI,True,exact,100.0,2022-10-02,parsed,2022,4,10,AI_ML,AI/ML,$0.570 billion,570000000,parsed,USD,19,51,2026-08-22T21:58:37.269504+00:00
ART0052,MongoDB,MongoDB,True,exact,100.0,2022-05-21,parsed,2022,2,5,SOFTWARE,Software,Not disclosed,,not_disclosed,,14,52,2026-08-22T21:58:37.269504+00:00
ART0053,Stripe,Stripe,True,exact,100.0,2023-01-02,parsed,2023,1,1,CLOUD,Cloud,2300.0M USD,2300000000,parsed,USD,21,53,2026-08-22T21:58:37.269504+00:00
ART0054,Tesla,Tesla,True,exact,100.0,2021-10-04,parsed,2021,4,10,CLOUD,Cloud,"$54,000,000,000",54000000000,parsed,USD,13,54,2026-08-22T21:58:37.269504+00:00
ART0055,Scale AI,Scale AI,True,exact,100.0,2020-07-29,parsed,2020,3,7,SOFTWARE,Enterprise Software,$135.0 million,135000000,parsed,USD,17,55,2026-08-22T21:58:37.269504+00:00
ART0056,Meta AI,Meta AI,True,exact,100.0,2022-03-31,parsed,2022,1,3,AI_ML,Machine Learning,$700.0 million,700000000,parsed,USD,21,56,2026-08-22T21:58:37.269504+00:00
ART0057,NVIDIA,NVIDIA,True,exact,100.0,2023-02-16,parsed,2023,1,2,FINTECH,FinTech,Not disclosed,,not_disclosed,,6,57,2026-08-22T21:58:37.269504+00:00
ART0058,Meta AI,Meta AI,True,exact,100.0,2023-07-05,parsed,2023,3,7,FINTECH,Financial Technology,$1330.0M - $1470.0M,1400000000,parsed,USD,22,58,2026-08-22T21:58:37.269504+00:00
ART0059,Palantir,Palantir,True,exact,100.0,2023-05-01,parsed,2023,2,5,FINTECH,Finance,$1.920B,1920000000,parsed,USD,18,59,2026-08-22T21:58:37.269504+00:00
ART0060,SpaceX,SpaceX,True,exact,100.0,2023-01-20,parsed,2023,1,1,CLOUD,Cloud Computing,$7000.0 million,7000000000,parsed,USD,7,60,2026-08-22T21:58:37.269504+00:00
ART0061,Snowflake,Snowflake,True,exact,100.0,2020-09-11,parsed,2020,3,9,FINTECH,Finance,730.0M USD,730000000,parsed,USD,8,61,2026-08-22T21:58:37.269504+00:00
ART0062,Databricks,Databricks,True,exact,100.0,2020-07-06,parsed,2020,3,7,SOFTWARE,Enterprise Software,,,missing,,17,62,2026-08-22T21:58:37.269504+00:00
ART0063,Scale AI,Scale AI,True,exact,100.0,2020-07-05,parsed,2020,3,7,DATA_ANALYTICS,Analytics,,,missing,,17,63,2026-08-22T21:58:37.269504+00:00
ART0064,Anthropic,Anthropic,True,exact,100.0,2020-06-29,parsed,2020,2,6,FINTECH,Financial Technology,,,missing,,14,64,2026-08-22T21:58:37.269504+00:00
ART0065,Scale AI,Scale AI,True,exact,100.0,2020-04-15,parsed,2020,2,4,FINTECH,Financial Technology,,,missing,,17,65,2026-08-22T21:58:37.269504+00:00
ART0066,NVIDIA,NVIDIA,True,exact,100.0,2020-11-20,parsed,2020,4,11,SOFTWARE,Software,$12.600B,12600000000,parsed,USD,3,66,2026-08-22T21:58:37.269504+00:00
ART0067,Cloudflare,Cloudflare,True,exact,100.0,2021-08-20,parsed,2021,3,8,FINTECH,Financial Technology,N/A,,missing,,23,67,2026-08-22T21:58:37.269504+00:00
ART0068,Microsoft,Microsoft,True,exact,100.0,2021-07-19,parsed,2021,3,7,DATA_ANALYTICS,Data Analytics,$55.000 billion,55000000000,parsed,USD,3,68,2026-08-22T21:58:37.269504+00:00
ART0069,Microsoft,Microsoft,True,exact,100.0,2023-01-08,parsed,2023,1,1,DATA_ANALYTICS,Analytics,$71.000B,71000000000,parsed,USD,5,69,2026-08-22T21:58:37.269504+00:00
ART0070,SpaceX,SpaceX,True,exact,100.0,2021-10-13,parsed,2021,4,10,SECURITY,InfoSec,$4300.0 million,4300000000,parsed,USD,5,70,2026-08-22T21:58:37.269504+00:00
ART0071,Palantir,Palantir,True,exact,100.0,2022-12-13,parsed,2022,4,12,AI_ML,AI/ML,"¥255,000,000,000",1700000000,parsed,JPY,17,71,2026-08-22T21:58:37.269504+00:00
ART0072,Scale AI,Scale AI,True,exact,100.0,2021-11-03,parsed,2021,4,11,SOFTWARE,Software,$340.0M,340000000,parsed,USD,18,72,2026-08-22T21:58:37.269504+00:00
ART0073,Google DeepMind,Google DeepMind,True,exact,100.0,2020-07-20,parsed,2020,3,7,AI_ML,AI & ML,"$145,000,000",145000000,parsed,USD,3,73,2026-08-22T21:58:37.269504+00:00
ART0074,SpaceX,SpaceX,True,exact,100.0,2021-05-15,parsed,2021,2,5,SECURITY,Cybersecurity,$3450.0 million,3450000000,parsed,USD,5,74,2026-08-22T21:58:37.269504+00:00
ART0075,Cloudflare,Cloudflare,True,exact,100.0,2020-10-20,parsed,2020,4,10,SECURITY,Security,"¥75,000,000,000",500000000,parsed,JPY,22,75,2026-08-22T21:58:37.269504+00:00
ART0076,Palantir,Palantir,True,exact,100.0,2023-04-18,parsed,2023,2,4,SECURITY,Cybersecurity,Not disclosed,,not_disclosed,,18,76,2026-08-22T21:58:37.269504+00:00
ART0077,Airbnb,Airbnb,True,exact,100.0,2021-08-28,parsed,2021,3,8,FINTECH,Finance,"$4,200,000,000",4200000000,parsed,USD,22,77,2026-08-22T21:58:37.269504+00:00
ART0078,DataRobot,DataRobot,True,exact,100.0,2022-10-14,parsed,2022,4,10,FINTECH,FinTech,295.0M USD,295000000,parsed,USD,10,78,2026-08-22T21:58:37.269504+00:00
ART0079,Scale AI,Scale AI,True,exact,100.0,2023-07-09,parsed,2023,3,7,AI_ML,Artificial Intelligence,$735.0 million,735000000,parsed,USD,20,79,2026-08-22T21:58:37.269504+00:00
ART0080,Amazon Web Services,Amazon Web Services,True,exact,100.0,2020-09-27,parsed,2020,3,9,DATA_ANALYTICS,Analytics,$45.500 billion,45500000000,parsed,USD,5,80,2026-08-22T21:58:37.269504+00:00
ART0081,Meta AI,Meta AI,True,exact,100.0,2020-06-03,parsed,2020,2,6,FINTECH,FinTech,"£114,173,228",145000000,parsed,GBP,19,81,2026-08-22T21:58:37.269504+00:00
ART0082,Airbnb,Airbnb,True,exact,100.0,2023-08-10,parsed,2023,3,8,SOFTWARE,Enterprise Software,"¥1,110,000,000,000",7400000000,parsed,JPY,24,82,2026-08-22T21:58:37.269504+00:00
ART0083,Stripe,Stripe,True,exact,100.0,2021-03-29,parsed,2021,1,3,AI_ML,Machine Learning,,,missing,,19,83,2026-08-22T21:58:37.269504+00:00
ART0084,Cloudflare,Cloudflare,True,exact,100.0,2020-07-18,parsed,2020,3,7,SOFTWARE,Software,N/A,,missing,,22,84,2026-08-22T21:58:37.269504+00:00
ART0085,Cloudflare,Cloudflare,True,exact,100.0,2022-04-15,parsed,2022,2,4,AI_ML,Artificial Intelligence,"€795,454,545",875000000,parsed,EUR,24,85,2026-08-22T21:58:37.269504+00:00
ART0086,Anthropic,Anthropic,True,exact,100.0,2021-07-19,parsed,2021,3,7,AI_ML,AI & ML,"$45,000,000",45000000,parsed,USD,15,86,2026-08-22T21:58:37.269504+00:00
ART0087,Tesla,Tesla,True,exact,100.0,2023-02-09,parsed,2023,1,2,SOFTWARE,Enterprise Software,$82000.0 million,82000000000,parsed,USD,15,87,2026-08-22T21:58:37.269504+00:00
ART0088,Microsoft,Microsoft,True,exact,100.0,2021-05-28,parsed,2021,2,5,AI_ML,AI & ML,$52.500B,52500000000,parsed,USD,3,88,2026-08-22T21:58:37.269504+00:00
ART0089,Databricks,Databricks,True,exact,100.0,2020-09-16,parsed,2020,3,9,SECURITY,Cybersecurity,,,missing,,17,89,2026-08-22T21:58:37.269504+00:00
ART0090,MongoDB,MongoDB,True,exact,100.0,2023-06-13,parsed,2023,2,6,SOFTWARE,SaaS,$1.560B,1560000000,parsed,USD,15,90,2026-08-22T21:58:37.269504+00:00
ART0091,Google DeepMind,Google DeepMind,True,exact,100.0,2021-10-21,parsed,2021,4,10,CLOUD,Cloud Computing,"¥61,500,000,000",410000000,parsed,JPY,4,91,2026-08-22T21:58:37.269504+00:00
ART0092,Scale AI,Scale AI,True,exact,100.0,2023-02-03,parsed,2023,1,2,CLOUD,Cloud Services,Not disclosed,,not_disclosed,,20,92,2026-08-22T21:58:37.269504+00:00
ART0093,Stripe,Stripe,True,exact,100.0,2021-10-02,parsed,2021,4,10,FINTECH,Financial Technology,$1.550B,1550000000,parsed,USD,19,93,2026-08-22T21:58:37.269504+00:00
ART0094,Airbnb,Airbnb,True,exact,100.0,2023-02-13,parsed,2023,1,2,SOFTWARE,Enterprise Software,"£5,196,850,394",6600000000,parsed,GBP,24,94,2026-08-22T21:58:37.269504+00:00
ART0095,Snowflake,Snowflake,True,exact,100.0,2020-07-31,parsed,2020,3,7,SOFTWARE,SaaS,Not disclosed,,not_disclosed,,8,95,2026-08-22T21:58:37.269504+00:00
ART0096,Confluent,Confluent,True,exact,100.0,2022-05-28,parsed,2022,2,5,SOFTWARE,Software,$0.655 billion,655000000,parsed,USD,27,96,2026-08-22T21:58:37.269504+00:00
ART0097,OpenAI,OpenAI,True,exact,100.0,2020-10-20,parsed,2020,4,10,DATA_ANALYTICS,Big Data,$90.2M - $99.8M,95000000,parsed,USD,14,97,2026-08-22T21:58:37.269504+00:00
ART0098,Amazon Web Services,Amazon Web Services,True,exact,100.0,2021-09-30,parsed,2021,3,9,DATA_ANALYTICS,Data Analytics,Not disclosed,,not_disclosed,,6,98,2026-08-22T21:58:37.269504+00:00
ART0099,Palantir,Palantir,True,exact,100.0,2022-05-18,parsed,2022,2,5,SECURITY,Security,"£1,220,472,441",1550000000,parsed,GBP,17,99,2026-08-22T21:58:37.269504+00:00
ART0100,Cloudflare,Cloudflare,True,exact,100.0,2023-09-28,parsed,2023,3,9,AI_ML,Artificial Intelligence,$1.260 billion,1260000000,parsed,USD,25,100,2026-08-22T21:58:37.269504+00:00
ART0101,Stripe,Stripe,True,exact,100.0,2020-01-16,parsed,2020,1,1,SECURITY,Cybersecurity,$720.0M,720000000,parsed,USD,18,101,2026-08-22T21:58:37.269504+00:00
ART0102,OpenAI,OpenAI,True,exact,100.0,2020-08-06,parsed,2020,3,8,SOFTWARE,Enterprise Software,$75.0M,75000000,parsed,USD,14,102,2026-08-22T21:58:37.269504+00:00
ART0103,DataRobot,DataRobot,True,exact,100.0,2023-11-13,parsed,2023,4,11,AI_ML,Machine Learning,,,missing,,11,103,2026-08-22T21:58:37.269504+00:00
ART0104,Stripe,Stripe,True,exact,100.0,2020-06-05,parsed,2020,2,6,AI_ML,AI & ML,$780.0 million,780000000,parsed,USD,18,104,2026-08-22T21:58:37.269504+00:00
ART0105,Amazon Web Services,Amazon Web Services,True,exact,100.0,2020-11-09,parsed,2020,4,11,AI_ML,Machine Learning,,,missing,,5,105,2026-08-22T21:58:37.269504+00:00
ART0106,Scale AI,Scale AI,True,exact,100.0,2020-11-05,parsed,2020,4,11,AI_ML,Machine Learning,Not disclosed,,not_disclosed,,17,106,2026-08-22T21:58:37.269504+00:00
ART0107,Palantir,Palantir,True,exact,100.0,2020-03-18,parsed,2020,1,3,DATA_ANALYTICS,Analytics,,,missing,,15,107,2026-08-22T21:58:37.269504+00:00
ART0108,Palantir,Palantir,True,exact,100.0,2023-08-27,parsed,2023,3,8,DATA_ANALYTICS,Data Analytics,"¥315,000,000,000",2100000000,parsed,JPY,18,108,2026-08-22T21:58:37.269504+00:00
ART0109,MongoDB,MongoDB,True,exact,100.0,2020-12-19,parsed,2020,4,12,FINTECH,FinTech,"€590,909,091",650000000,parsed,EUR,12,109,2026-08-22T21:58:37.269504+00:00
ART0110,DataRobot,DataRobot,True,exact,100.0,2023-07-16,parsed,2023,3,7,DATA_ANALYTICS,Data Analytics,Not disclosed,,not_disclosed,,11,110,2026-08-22T21:58:37.269504+00:00
ART0111,Microsoft,Microsoft,True,exact,100.0,2020-06-15,parsed,2020,2,6,CLOUD,Cloud Computing,Not disclosed,,not_disclosed,,2,111,2026-08-22T21:58:37.269504+00:00
ART0112,Microsoft,Microsoft,True,exact,100.0,2023-12-10,parsed,2023,4,12,SOFTWARE,SaaS,"$78,000,000,000",78000000000,parsed,USD,5,112,2026-08-22T21:58:37.269504+00:00
ART0113,Stripe,Stripe,True,exact,100.0,2021-01-28,parsed,2021,1,1,CLOUD,Cloud Computing,"€954,545,455",1050000001,parsed,EUR,19,113,2026-08-22T21:58:37.269504+00:00
ART0114,Amazon Web Services,Amazon Web Services,True,exact,100.0,2023-11-19,parsed,2023,4,11,CLOUD,Cloud,"¥14,250,000,000,000",95000000000,parsed,JPY,8,114,2026-08-22T21:58:37.269504+00:00
ART0115,NVIDIA,NVIDIA,True,exact,100.0,2021-04-05,parsed,2021,2,4,SECURITY,InfoSec,"£11,811,023,622",15000000000,parsed,GBP,4,115,2026-08-22T21:58:37.269504+00:00
ART0116,Tesla,Tesla,True,exact,100.0,2020-10-10,parsed,2020,4,10,AI_ML,Artificial Intelligence,$24700.0M - $27300.0M,26000000000,parsed,USD,12,116,2026-08-22T21:58:37.269504+00:00
ART0117,Amazon Web Services,Amazon Web Services,True,exact,100.0,2022-07-09,parsed,2022,3,7,CLOUD,Cloud Computing,"£61,417,322,835",78000000000,parsed,GBP,7,117,2026-08-22T21:58:37.269504+00:00
ART0118,Airbnb,Airbnb,True,exact,100.0,2020-02-27,parsed,2020,1,2,AI_ML,AI & ML,"$2,600,000,000",2600000000,parsed,USD,21,118,2026-08-22T21:58:37.269504+00:00
ART0119,Cloudflare,Cloudflare,True,exact,100.0,2023-06-14,parsed,2023,2,6,AI_ML,Machine Learning,$1.180B,1180000000,parsed,USD,25,119,2026-08-22T21:58:37.269504+00:00
ART0120,SpaceX,SpaceX,True,exact,100.0,2023-06-29,parsed,2023,2,6,AI_ML,Machine Learning,$7220.0M - $7980.0M,7600000000,parsed,USD,7,120,2026-08-22T21:58:37.269504+00:00
ART0121,SpaceX,SpaceX,True,exact,100.0,2023-06-13,parsed,2023,2,6,FINTECH,FinTech,$7.600B,7600000000,parsed,USD,7,121,2026-08-22T21:58:37.269504+00:00
ART0122,Elastic,Elastic,True,exact,100.0,2022-03-10,parsed,2022,1,3,AI_ML,Artificial Intelligence,"$1,010,000,000",1010000000,parsed,USD,6,122,2026-08-22T21:58:37.269504+00:00
ART0123,Confluent,Confluent,True,exact,100.0,2021-11-11,parsed,2021,4,11,AI_ML,Artificial Intelligence,,,missing,,26,123,2026-08-22T21:58:37.269504+00:00
ART0124,Palantir,Palantir,True,exact,100.0,2021-08-23,parsed,2021,3,8,AI_ML,Artificial Intelligence,$1.320B,1320000000,parsed,USD,16,124,2026-08-22T21:58:37.269504+00:00
ART0125,Scale AI,Scale AI,True,exact,100.0,2021-07-13,parsed,2021,3,7,DATA_ANALYTICS,Analytics,Not disclosed,,not_disclosed,,18,125,2026-08-22T21:58:37.269504+00:00
ART0126,MongoDB,MongoDB,True,exact,100.0,2020-06-18,parsed,2020,2,6,SECURITY,Cybersecurity,"€490,909,091",540000000,parsed,EUR,12,126,2026-08-22T21:58:37.269504+00:00
ART0127,Snowflake,Snowflake,True,exact,100.0,2023-05-19,parsed,2023,2,5,SECURITY,Cybersecurity,,,missing,,11,127,2026-08-22T21:58:37.269504+00:00
ART0128,Databricks,Databricks,True,exact,100.0,2020-04-27,parsed,2020,2,4,DATA_ANALYTICS,Big Data,$420.0 million,420000000,parsed,USD,17,128,2026-08-22T21:58:37.269504+00:00
ART0129,Microsoft,Microsoft,True,exact,100.0,2021-04-28,parsed,2021,2,4,DATA_ANALYTICS,Analytics,"¥7,875,000,000,000",52500000000,parsed,JPY,3,129,2026-08-22T21:58:37.269504+00:00
ART0130,Confluent,Confluent,True,exact,100.0,2022-12-20,parsed,2022,4,12,DATA_ANALYTICS,Big Data,"$735,000,000",735000000,parsed,USD,27,130,2026-08-22T21:58:37.269504+00:00
ART0131,Elastic,Elastic,True,exact,100.0,2021-06-20,parsed,2021,2,6,SECURITY,Security,$890.0 million,890000000,parsed,USD,5,131,2026-08-22T21:58:37.269504+00:00
ART0132,Google DeepMind,Google DeepMind,True,exact,100.0,2021-10-16,parsed,2021,4,10,DATA_ANALYTICS,Analytics,$410.0 million,410000000,parsed,USD,4,132,2026-08-22T21:58:37.269504+00:00
ART0133,Airbnb,Airbnb,True,exact,100.0,2021-04-04,parsed,2021,2,4,CLOUD,Cloud Services,"€3,454,545,455",3800000001,parsed,EUR,22,133,2026-08-22T21:58:37.269504+00:00
ART0134,Microsoft,Microsoft,True,exact,100.0,2020-06-25,parsed,2020,2,6,FINTECH,Finance,,,missing,,2,134,2026-08-22T21:58:37.269504+00:00
ART0135,Scale AI,Scale AI,True,exact,100.0,2022-07-10,parsed,2022,3,7,SOFTWARE,SaaS,,,missing,,19,135,2026-08-22T21:58:37.269504+00:00
ART0136,Amazon Web Services,Amazon Web Services,True,exact,100.0,2023-12-23,parsed,2023,4,12,DATA_ANALYTICS,Analytics,Not disclosed,,not_disclosed,,8,136,2026-08-22T21:58:37.269504+00:00
ART0137,DataRobot,DataRobot,True,exact,100.0,2020-07-10,parsed,2020,3,7,CLOUD,Cloud,170.0M USD,170000000,parsed,USD,8,137,2026-08-22T21:58:37.269504+00:00
ART0138,Scale AI,Scale AI,True,exact,100.0,2021-06-26,parsed,2021,2,6,CLOUD,Cloud Services,$0.260 billion,260000000,parsed,USD,18,138,2026-08-22T21:58:37.269504+00:00
ART0139,Snowflake,Snowflake,True,exact,100.0,2020-05-29,parsed,2020,2,5,AI_ML,Artificial Intelligence,N/A,,missing,,8,139,2026-08-22T21:58:37.269504+00:00
