company_key,year,quarter,published_date,quarterly_arr_usd,article_id
DataRobot,2023,3,2023-07-29,355000000,ART0299
DataRobot,2023,4,2023-10-14,379999999,ART0020
DataRobot,2024,2,2024-05-21,388000000,ART0629
DataRobot,2024,3,2024-09-07,399000000,ART0533
DataRobot,2024,4,2024-12-12,407000000,ART0655
Databricks,2020,2,2020-04-27,420000000,ART0128
Databricks,2020,3,2020-08-16,500000000,ART0453
Databricks,2021,1,2021-01-31,740000000,ART0477
Databricks,2021,2,2021-04-14,900000000,ART0352
Databricks,2021,4,2021-12-24,1180000000,ART0347
Databricks,2022,3,2022-09-05,1700000000,ART0643
Databricks,2023,2,2023-05-23,2150000000,ART0024
Databricks,2023,4,2023-11-13,2400000000,ART0293
Databricks,2024,1,2024-02-25,2640000000,ART0738
Databricks,2024,2,2024-04-21,2904000000,ART0576
Databricks,2024,3,2024-08-19,3168000000,ART0512
Databricks,2024,4,2024-12-26,3480000000,ART0716
Elastic,2020,1,2020-02-08,610000000,ART0427
Elastic,2020,2,2020-06-23,660000000,ART0321
Elastic,2020,3,2020-08-19,700000000,ART0210
Elastic,2021,1,2021-01-08,820000000,ART0496
Elastic,2021,2,2021-06-20,890000000,ART0131
Elastic,2021,3,2021-09-11,930000000,ART0023
Elastic,2022,1,2022-03-10,1010000000,ART0122
Elastic,2022,3,2022-09-26,1030000000,ART0396
Elastic,2023,1,2023-02-17,1100000000,ART0387
Elastic,2023,2,2023-04-13,1160000000,ART0303
Elastic,2023,3,2023-09-04,1200000000,ART0232
Elastic,2023,4,2023-12-27,1250000000,ART0628
Elastic,2024,2,2024-06-26,1350000000,ART0593
Elastic,2024,3,2024-08-26,1400000000,ART0698
Google DeepMind,2020,2,2020-04-24,120000000,ART0373
Google DeepMind,2020,3,2020-09-22,145000000,ART0383
Google DeepMind,2020,4,2020-12-30,175000001,ART0317
Google DeepMind,2021,3,2021-07-28,340000000,ART0185
Google DeepMind,2021,4,2021-10-21,410000000,ART0091
Google DeepMind,2022,2,2022-06-10,610000000,ART0264
Google DeepMind,2022,3,2022-08-27,710000000,ART0600
Google DeepMind,2023,1,2023-03-27,830000000,ART0523
Google DeepMind,2023,3,2023-09-14,880000000,ART0682
Google DeepMind,2023,4,2023-12-10,900000000,ART0510
Google DeepMind,2024,2,2024-06-04,1044000000,ART0539
Google DeepMind,2024,4,2024-12-21,1215000000,ART0736
Hugging Face,2023,2,2023-06-19,55760000,ART0662
Hugging Face,2024,2,2024-05-14,82000000,ART0624
Meta AI,2020,1,2020-01-10,130000000,ART0340
Meta AI,2020,2,2020-06-03,145000000,ART0081
Meta AI,2020,3,2020-07-27,165000000,ART0241
Meta AI,2020,4,2020-12-02,190000000,ART0301
Meta AI,2022,1,2022-03-31,700000000,ART0056
Meta AI,2022,4,2022-11-16,1130000001,ART0656
Meta AI,2023,1,2023-03-26,1200000000,ART0031
Meta AI,2023,3,2023-08-08,1400000000,ART0392
Meta AI,2023,4,2023-10-15,1500000000,ART0308
Meta AI,2024,1,2024-03-07,1830000000,ART0541
Meta AI,2024,2,2024-06-21,1725000000,ART0619
Meta AI,2024,3,2024-08-11,1830000000,ART0694
Meta AI,2024,4,2024-12-19,1950000000,ART0689
Microsoft,2020,3,2020-09-29,44500000000,ART0221
Microsoft,2021,2,2021-05-28,52500000000,ART0088
Microsoft,2021,3,2021-07-19,55000000000,ART0068
Microsoft,2022,1,2022-02-23,61000000000,ART0039
Microsoft,2022,2,2022-06-02,64000000000,ART0463
Microsoft,2022,4,2022-11-24,68500000000,ART0358
Microsoft,2023,1,2023-01-24,71000000000,ART0179
Microsoft,2023,2,2023-05-10,73500000000,ART0588
Microsoft,2023,3,2023-09-01,75800000000,ART0470
Microsoft,2023,4,2023-12-10,78000000000,ART0112
Microsoft,2024,1,2024-03-12,79170000000,ART0722
Microsoft,2024,2,2024-05-19,80730000000,ART0673
Microsoft,2024,3,2024-09-22,82290000000,ART0671
Microsoft,2024,4,2024-12-02,83850000000,ART0606
Mistral AI,2023,2,2023-06-06,91800000,ART0688
Mistral AI,2024,1,2024-03-09,95000000,ART0685
Mistral AI,2024,4,2024-12-13,260000000,ART0691
MongoDB,2020,1,2020-02-29,500000000,ART0270
MongoDB,2020,2,2020-06-18,540000000,ART0126
MongoDB,2020,3,2020-09-08,590000000,ART0491
MongoDB,2020,4,2020-12-19,650000000,ART0109
MongoDB,2021,1,2021-01-24,720000000,ART0430
MongoDB,2021,4,2021-12-23,990000000,ART0332
MongoDB,2022,1,2022-03-21,1080000000,ART0412
MongoDB,2022,2,2022-05-07,1180000000,ART0304
MongoDB,2022,4,2022-11-30,1380000000,ART0341
MongoDB,2023,1,2023-03-18,1480000000,ART0163
MongoDB,2023,2,2023-06-13,1560000000,ART0090
MongoDB,2023,3,2023-08-21,1640000000,ART0556
MongoDB,2023,4,2023-12-07,1700000000,ART0384
MongoDB,2024,1,2024-03-08,1785000000,ART0732
MongoDB,2024,2,2024-06-02,1870000000,ART0585
MongoDB,2024,4,2024-11-13,2057000000,ART0748
NVIDIA,2020,2,2020-05-17,11200000000,ART0169
NVIDIA,2020,4,2020-11-22,12600000000,ART0028
NVIDIA,2021,2,2021-05-14,15000000000,ART0439
NVIDIA,2021,3,2021-07-25,16000000000,ART0049
NVIDIA,2021,4,2021-10-26,16800000000,ART0006
NVIDIA,2022,1,2022-02-26,17500000000,ART0554
NVIDIA,2022,2,2022-04-25,17800000000,ART0236
NVIDIA,2023,2,2023-05-15,36000000000,ART0223
NVIDIA,2023,3,2023-09-13,40500000000,ART0029
NVIDIA,2023,4,2023-10-31,45000000000,ART0456
NVIDIA,2024,1,2024-01-24,49500000000,ART0649
NVIDIA,2024,2,2024-06-21,54000000000,ART0524
NVIDIA,2024,3,2024-09-08,58500000000,ART0745
NVIDIA,2024,4,2024-10-14,62100000000,ART0684
OpenAI,2020,3,2020-08-06,75000000,ART0102
OpenAI,2020,4,2020-11-19,95000000,ART0155
OpenAI,2021,1,2021-03-30,130000000,ART0390
OpenAI,2021,2,2021-05-21,180000000,ART0403
OpenAI,2021,3,2021-07-13,240000000,ART0188
OpenAI,2021,4,2021-10-25,320000000,ART0011
OpenAI,2023,2,2023-06-10,1600000000,ART0634
OpenAI,2023,3,2023-08-22,1720000000,ART0402
OpenAI,2023,4,2023-10-21,1800000000,ART0549
OpenAI,2024,1,2024-03-12,2250000000,ART0582
OpenAI,2024,2,2024-04-24,2790000000,ART0612
OpenAI,2024,3,2024-09-17,3420000000,ART0744
OpenAI,2024,4,2024-10-28,4050000000,ART0710
Palantir,2020,2,2020-04-20,1030000000,ART0016
Palantir,2020,3,2020-09-05,1080000000,ART0295
Palantir,2020,4,2020-12-16,1120000000,ART0482
Palantir,2021,1,2021-02-01,1180000000,ART0481
Palantir,2021,3,2021-08-23,1320000000,ART0124
Palantir,2022,1,2022-01-19,1460000000,ART0367
Palantir,2022,2,2022-06-08,1550000000,ART0239
Palantir,2022,4,2022-12-24,1700000000,ART0537
Palantir,2023,1,2023-02-04,1800000000,ART0479
Palantir,2023,2,2023-05-01,1920000000,ART0059
Palantir,2023,3,2023-09-16,2100000000,ART0575
Palantir,2024,1,2024-03-26,2392000000,ART0733
Palantir,2024,2,2024-05-23,2484000000,ART0659
Palantir,2024,3,2024-08-27,2576000000,ART0735
Palantir,2024,4,2024-12-12,2691000000,ART0635
Perplexity AI,2024,1,2024-03-19,35000000,ART0544
Perplexity AI,2024,3,2024-09-10,85000000,ART0517
Scale AI,2020,1,2020-02-03,100000000,ART0217
Scale AI,2020,3,2020-08-01,135000000,ART0253
Scale AI,2020,4,2020-12-05,160000000,ART0428
Scale AI,2021,1,2021-03-09,210000000,ART0333
Scale AI,2021,2,2021-06-26,260000000,ART0138
Scale AI,2021,3,2021-09-01,305000000,ART0211
Scale AI,2021,4,2021-11-18,340000000,ART0254
Scale AI,2022,2,2022-05-17,430000000,ART0274
Scale AI,2022,3,2022-08-18,500000000,ART0578
Scale AI,2022,4,2022-12-25,570000000,ART0370
Scale AI,2023,3,2023-09-13,735000000,ART0515
Scale AI,2023,4,2023-12-12,760000000,ART0487
Scale AI,2024,1,2024-01-05,897000000,ART0741
Scale AI,2024,2,2024-05-25,1026000000,ART0709
Scale AI,2024,4,2024-10-10,1307000000,ART0642
Snowflake,2020,2,2020-05-22,620000000,ART0441
Snowflake,2020,3,2020-09-11,730000000,ART0061
Snowflake,2020,4,2020-10-02,850000000,ART0421
Snowflake,2021,1,2021-03-18,1000000000,ART0386
Snowflake,2021,4,2021-12-06,1530000000,ART0343
Snowflake,2022,3,2022-08-09,2050000000,ART0328
Snowflake,2022,4,2022-10-03,2180000000,ART0268
Snowflake,2023,1,2023-03-18,2350000000,ART0213
Snowflake,2023,2,2023-06-20,2520000000,ART0313
Snowflake,2023,4,2023-11-11,2800000000,ART0252
Snowflake,2024,2,2024-05-27,3192000000,ART0598
Snowflake,2024,3,2024-08-16,3388000000,ART0508
Snowflake,2024,4,2024-11-16,3612000000,ART0633
SpaceX,2020,2,2020-06-11,2100000000,ART0418
SpaceX,2020,4,2020-10-09,2600000000,ART0207
SpaceX,2021,1,2021-01-11,3000000000,ART0363
SpaceX,2021,2,2021-05-15,3450000000,ART0074
SpaceX,2021,3,2021-08-13,3900000000,ART0446
SpaceX,2021,4,2021-11-02,4300000000,ART0159
SpaceX,2022,1,2022-02-15,5000000000,ART0168
SpaceX,2022,3,2022-07-17,6100000000,ART0228
SpaceX,2023,1,2023-02-08,7000000000,ART0258
SpaceX,2023,2,2023-06-29,7600000000,ART0120
SpaceX,2023,4,2023-11-07,8500000000,ART0222
SpaceX,2024,1,2024-02-17,8925000000,ART0680
SpaceX,2024,2,2024-05-04,9180000000,ART0519
SpaceX,2024,3,2024-09-16,9520000000,ART0581
SpaceX,2024,4,2024-10-22,9945000000,ART0743
Stripe,2020,1,2020-01-18,720000000,ART0355
Stripe,2020,2,2020-06-05,780000000,ART0104
Stripe,2021,1,2021-01-28,1050000001,ART0113
Stripe,2021,3,2021-09-12,1380000000,ART0466
Stripe,2021,4,2021-10-22,1550000000,ART0251
Stripe,2022,1,2022-03-08,1700000000,ART0318
Stripe,2022,2,2022-05-19,1820000000,ART0654
Stripe,2022,3,2022-07-28,1900000000,ART0158
Stripe,2022,4,2022-12-16,2050000000,ART0586
Stripe,2023,1,2023-03-13,2300000000,ART0443
Stripe,2023,2,2023-06-10,2600000000,ART0257
Stripe,2023,3,2023-09-12,2950000000,ART0416
Stripe,2024,1,2024-03-07,3536000000,ART0592
Stripe,2024,2,2024-05-28,3672000000,ART0558
Stripe,2024,3,2024-07-28,3774000000,ART0720
Stripe,2024,4,2024-12-02,3909999999,ART0746
Tesla,2020,2,2020-05-29,24500000000,ART0165
Tesla,2020,3,2020-09-27,25200000000,ART0015
Tesla,2020,4,2020-10-10,26000000000,ART0406
Tesla,2021,1,2021-03-27,31000000000,ART0480
Tesla,2021,2,2021-06-04,38000000000,ART0490
Tesla,2021,4,2021-10-04,54000000000,ART0054
Tesla,2022,4,2022-10-19,75000000000,ART0007
Tesla,2023,1,2023-03-25,82000000000,ART0360
Tesla,2023,2,2023-04-04,90000000000,ART0442
Tesla,2023,3,2023-07-06,94000000000,ART0677
Tesla,2023,4,2023-12-19,96000000000,ART0497
Tesla,2024,1,2024-03-22,95040000000,ART0607
Tesla,2024,2,2024-04-11,96960000000,ART0514
Tesla,2024,3,2024-07-14,98880000000,ART0547
The Boring Company / SpaceX,2023,4,2023-12-22,8500000000,ART0663
The Boring Company / SpaceX,2024,4,2024-12-12,9945000000,ART0734
Uber,2020,2,2020-04-10,10200000000,ART0240
Uber,2021,2,2021-06-07,14500000000,ART0286
Uber,2021,4,2021-10-13,17000000000,ART0445
Uber,2022,4,2022-12-09,25000000000,ART0382
Uber,2023,3,2023-08-23,32000000000,ART0013
Uber,2023,4,2023-10-14,34000000000,ART0458
Uber,2024,1,2024-03-24,34680000000,ART0574
Uber,2024,2,2024-06-17,35360000000,ART0705
Uber,2024,3,2024-09-10,36380000000,ART0602
Uber,2024,4,2024-12-02,37400000000,ART0540
xAI,2024,1,2024-01-04,20000000,ART0627
xAI,2024,2,2024-05-25,50000000,ART0648
xAI,2024,4,2024-11-07,180000000,ART0749
